,Sentences
0,Dubai  Building Code    2021 Edition     Contents    Part A    Part B    Part C    Part D    Part E    General    Architecture    Accessibility    Vertical transportation    Building envelope    Part F    Part G    Part H    Part J    Part K    Structure    Incoming utilities    Indoor environment    Security    Villas    ii    Dubai Building Code     A.
1,1    A.
2,2    A.
3,3    A.
4,4    A.
5,5    A.
6,6    A.
7,7    A.
8,8    A.
9,9    Introduction    Definitions    References    Relationship of DBC to other local and  international regulations    Scope and application of the DBC    Navigating the DBC    Adoption of DBC    Alternative solutions    Maintenance of DBC    A.
10,10    Copyright    A.
11,11 Coordinate system    A.
12,"12 Dimensions, units and calculations    A 1    Dubai Building Code    Part A    General       A."
13,"1    Introduction    The objective of the Dubai Building Code (DBC) is to unify building design across  Dubai, and to create a building code that is easy to use and clearly mandates the  minimum requirements for:    a) the health, safety, welfare and convenience of people in and around buildings;    b) the health, safety, welfare and convenience of people who might be affected by    buildings;    c) building design to reduce the impact on the surrounding environment; and    d) the sustainable development of buildings."
14,"    The content of the DBC is based on the following inputs:    1) existing regulations and technical requirements produced by the various    Authorities and Service Providers;    2)    interviews with Government Authorities, Service Providers, Master Developers,  Consultants and other stakeholders to understand gaps or inconsistencies  between existing regulations;    3) benchmarking to international and regional codes."
15,    The DBC is arranged under themes to integrate all relevant elements of building  design.
16,    The regulations stipulated in the DBC are the minimum requirements for building  design.
17, Nothing in the DBC prevents a building design that achieves higher standards  than the minimum set out in the DBC.
18,    A 2    Dubai Building Code    Part A: General     A.
19,2 Definitions    NOTE: This section gives common definitions that apply throughout the DBC.
20, Each Part also has a section for terms specific to that Part.
21,    A.
22,2.
23,"1    Terms    Addition: Increase to a building’s gross area or built-up  area, and/or height or depth."
24,"    Architect: Physical or legal person in charge of  designing or supervising building works, or both, and  licensed to practise the architecture profession in  Dubai in accordance with the applicable legislation."
25,"    Authority: Any ministry, department, entity, or  federal or local government institution in Dubai or  any department in licensing Authorities related to the  implementation and the provisions of the DBC."
26,"    Building lifecycle: Series of stages through which a  building passes during its lifetime, from initial design,  through construction, commissioning, handover,  and operation, to final demolition and recycling of  demolished materials/systems."
27,"    Built-up area: Total constructed area in a building or  structure measured from the external walls of the  building, inclusive of balconies, terraces and other  projections, as well as any other covered spaces such  as covered parking structures, circulation corridors,  loading/unloading bays, basements, service floors,  indoor swimming pools and any other permanent  structures on the plot."
28,    Building: Structure for the use or occupancy of people  or for shelter.
29,    Change of use: Alteration to the use of a building to  accommodate an alternative occupancy to that which it  was originally designed.
30,"    Civil Engineer: Physical or legal person in charge  of designing or supervising civil engineering works,  or both, and licensed to practise the engineering  profession in Dubai in accordance with the applicable  legislation."
